order,validation_type,model_type,R2,R2_adjusted,RMSE
Accipitriformes,between,HWI,0.0101342879988762,-0.0998507911123598,24.154670780104
Anseriformes,between,HWI,0.288064765827356,0.216871242410091,4.00231717494809
Charadriiformes,between,HWI,0.0510697730098588,-0.0543669188779348,4.51381783917921
Passeriformes,between,HWI,0.0170296561559081,0.0021361660976643,3.78656863431842
Accipitriformes,within,HWI,0.260262831523444,0.0136837753645919,18.8794850898732
Accipitriformes,within,HWI,0.145021018479782,-0.0687237269002732,24.0092863049665
Anseriformes,within,HWI,0.138721820113346,-0.0765977248583181,5.5683044525169
Anseriformes,within,HWI,0.112702749441095,-0.109121563198632,0.941964569694055
Charadriiformes,within,HWI,0.0212340474785127,-0.30502127002865,6.11144080787992
Charadriiformes,within,HWI,0.0008127591236668,-0.248984051095416,2.74761982611194
Passeriformes,within,HWI,0.0309881468512222,-0.0571038397986665,7.74512712149143
Passeriformes,within,HWI,0.0340597246368016,-0.0464352983101315,0.599802859200989
Passeriformes,within,HWI,0.102861720624891,0.0281001973436317,0.855779048050209
Passeriformes,within,HWI,0.0056399507597904,-0.0772233866768934,2.34508419127443
Passeriformes,within,HWI,0.148985800281758,0.0716208730346451,0.777348337407213
Accipitriformes,between,body_mass,0.363562856614237,0.292847618460264,19.3682659993205
Anseriformes,between,body_mass,0.83985171687579,0.823836888563369,1.89824560325969
Charadriiformes,between,body_mass,0.0182691893682035,-0.0908120118131073,4.59116709087954
Passeriformes,between,body_mass,0.583388014479741,0.577075711668828,2.46513952731629
Accipitriformes,within,body_mass,0.0162765405363507,-0.311631279284866,26.4161706764083
Accipitriformes,within,body_mass,0.390975054715678,0.238718818394597,16.6810290616787
Anseriformes,within,body_mass,0.977534035808608,0.97191754476076,0.837518552881147
Anseriformes,within,body_mass,0.909386395766021,0.886732994707526,1.08069823576867
Charadriiformes,within,body_mass,0.180718931397038,-0.0923747581372822,1.93285324658379
Charadriiformes,within,body_mass,0.127377220194274,-0.0907784747571578,5.46693060211542
Passeriformes,within,body_mass,0.0202497956986101,-0.0688184046924254,0.357129453719223
Passeriformes,within,body_mass,0.624585382975762,0.593300831557076,1.42219619541505
Passeriformes,within,body_mass,0.617202227028403,0.585302412614103,0.345160892321391
Passeriformes,within,body_mass,0.0012337727687171,-0.0819967461672231,1.57693502591692
Passeriformes,within,body_mass,0.982374560837082,0.980772248185907,1.03150011498762
Accipitriformes,between,diet,0.018132578221514,-0.0909638019760957,0.595496679778481
Anseriformes,between,diet,0.530739068475204,0.483812975322724,0.436998761043904
Charadriiformes,between,diet,0.0208266830051364,-0.0879703522165152,0.494004542954141
Passeriformes,between,diet,0.0114557755332548,-0.0035221672616958,0.507346589624159
Accipitriformes,within,diet,0.0009727075465164,-0.332036389937978,0.392713790290879
Accipitriformes,within,diet,0.228897377747367,0.0361217221842087,0.613446102703546
Anseriformes,within,diet,0.214184859149098,0.0177310739363723,0.32841870968901
Anseriformes,within,diet,0.75769044322965,0.697113054037062,0.38908751400096
Charadriiformes,within,diet,0.345691598316617,0.12758879775549,0.373266689864046
Charadriiformes,within,diet,0.0110698382314089,-0.236162702210739,0.41377087137736
Passeriformes,within,diet,0.0927976212848947,0.0103246777653399,0.382976437769944
Passeriformes,within,diet,0.0130788725339927,-0.0691645547548412,0.405266628016362
Passeriformes,within,diet,0.108351881973277,0.034047872137717,0.333995122352736
Passeriformes,within,diet,0.013078867486315,-0.0691645602231585,0.327990061097821
Passeriformes,within,diet,0.0043943315839423,-0.0861152746356992,0.791936535125172
Accipitriformes,between,dispersal_syndrome,0.294908930818783,0.216565478687537,20.3861675381274
Anseriformes,between,dispersal_syndrome,0.349174855248625,0.284092340773487,3.82669122832062
Charadriiformes,between,dispersal_syndrome,0.701484292924973,0.668315881027747,2.53168974210023
Passeriformes,between,dispersal_syndrome,0.002260396732786,-0.0128568699833838,3.81490942246818
Accipitriformes,within,dispersal_syndrome,0.354694509189213,0.13959267891895,12.2187510963267
Anseriformes,within,dispersal_syndrome,0.483116141272851,0.353895176591064,4.22115330699111
Anseriformes,within,dispersal_syndrome,0.169725510274623,-0.0378431121567218,0.972414721749997
Charadriiformes,within,dispersal_syndrome,0.30532088139248,0.0737611751899736,4.61356350277466
Charadriiformes,within,dispersal_syndrome,0.0346378700227095,-0.206702662471613,1.08622605738862
Passeriformes,within,dispersal_syndrome,0.257344856258205,0.189830752281679,6.81792195800509
Passeriformes,within,dispersal_syndrome,0.025489303762945,-0.0557199209234762,1.64612769089788
Passeriformes,within,dispersal_syndrome,0.42050760999412,0.37221657749363,0.546457662113564
Passeriformes,within,dispersal_syndrome,0.640459250272094,0.610497521128102,1.2030523499885
Passeriformes,within,dispersal_syndrome,0.628669120223634,0.594911767516691,0.369090634834712
Accipitriformes,between,life_history,0.387688166742429,0.319653518602699,0.47026130576968
Anseriformes,between,life_history,0.856378136614055,0.842015950275461,0.241759353164511
Charadriiformes,between,life_history,0.0631894250425331,-0.04090063884163,0.483200138338792
Passeriformes,between,life_history,0.291591460154694,0.280857997429765,0.42948558086551
Accipitriformes,within,life_history,0.767851209060991,0.690468278747988,0.26014565466458
Accipitriformes,within,life_history,0.319756446364844,0.149695557956055,0.510518487981291
Anseriformes,within,life_history,0.0579461632968617,-0.177567295878923,0.296329308606144
Anseriformes,within,life_history,0.962805513001167,0.953506891251459,0.139390304924876
Charadriiformes,within,life_history,0.0120618522048686,-0.317250863726842,0.554802798037319
Charadriiformes,within,life_history,0.0321099368447951,-0.209862578944006,0.394881629334465
Passeriformes,within,life_history,0.663877454137684,0.633320859059292,0.438370487257001
Passeriformes,within,life_history,0.293756904598033,0.234903313314536,0.342265070810383
Passeriformes,within,life_history,0.0208177682585597,-0.0607807510532268,0.386383000007968
Passeriformes,within,life_history,0.226171303252216,0.161685578523234,0.328167355747951
Passeriformes,within,life_history,0.122773990502791,0.04302617145759,0.391015195803052
Accipitriformes,between,migration_distance,0.226615514711611,0.140683905235123,0.528506882068126
Anseriformes,between,migration_distance,0.407718373716956,0.348490211088652,0.490949855557131
Charadriiformes,between,migration_distance,0.0362701836001922,-0.0708109071108975,0.490093345291875
Passeriformes,between,migration_distance,0.0905597502501376,0.0767803525266548,0.486624285921814
Accipitriformes,within,migration_distance,0.0193854243553277,-0.307486100859563,0.55199114613792
Accipitriformes,within,migration_distance,0.593136513704206,0.491420642130257,0.371096389935477
Anseriformes,within,migration_distance,0.0191433863213277,-0.22607076709834,0.27731283450841
Anseriformes,within,migration_distance,0.386422335855594,0.233027919819493,0.607967121909571
Charadriiformes,within,migration_distance,0.0094287466883855,-0.320761671082153,0.29024303601382
Charadriiformes,within,migration_distance,0.151951320180762,-0.0600608497740476,0.459491986804776
Passeriformes,within,migration_distance,0.0038792235213404,-0.0866772107039921,0.452952922778272
Passeriformes,within,migration_distance,0.0283239227371869,-0.0526490837013807,0.455206147901773
