"","fold","order","type","complexity","id","AIC","AICc","BIC","R2","R2_adjusted","RMSE","Sigma","R2_s"
"1","fold_1","Passeriformes","within","total",1,92.8008247701499,95.4674914368166,94.4956728425345,0.257344856258205,0.189830752281679,6.81792195800509,7.41186259090375,0.257015520732519
"2","fold_2","Passeriformes","within","total",2,59.686197850259,62.086197850259,61.6033698391047,0.025489303762945,-0.0557199209234762,1.64612769089788,1.77802112019634,0.0250571502996094
"3","fold_3","Passeriformes","within","total",3,28.8099224602385,31.2099224602385,30.7270944490843,0.42050760999412,0.37221657749363,0.546457662113564,0.59024173513603,0.42025063011254
"4","fold_4","Passeriformes","within","total",4,50.9064135926091,53.3064135926091,52.8235855814549,0.640459250272094,0.610497521128102,1.2030523499885,1.29944505448094,0.640299809456509
"5","fold_5","Passeriformes","within","total",5,16.9778627649861,19.6445294316528,18.6727108373707,0.628669120223634,0.594911767516691,0.369090634834712,0.401243822653664,0.628504450993877
"6","fold_1","Accipitriformes","within","total",6,45.2191028011525,69.2191028011525,44.0474165384548,0.354694509189213,0.13959267891895,12.2187510963267,15.7743398358422,0.354408344035931
"7","fold_1","Anseriformes","within","total",8,40.3085630329165,52.3085630329165,39.6838414406006,0.483116141272851,0.353895176591064,4.22115330699111,5.16983586409501,0.4828869255746
"8","fold_2","Anseriformes","within","total",9,22.6915876338353,34.6915876338353,22.0668660415195,0.169725510274623,-0.0378431121567218,0.972414721749997,1.19095994332899,0.169357319347997
"9","fold_1","Charadriiformes","within","total",10,35.4793908570145,59.4793908570145,34.3077045943168,0.30532088139248,0.0737611751899736,4.61356350277466,5.95608487097221,0.305012821164745
"10","fold_2","Charadriiformes","within","total",11,24.019774668357,36.019774668357,23.3950530760412,0.0346378700227095,-0.206702662471613,1.08622605738862,1.33034979295862,0.0342097735539343
"11","total","Accipitriformes","betweeen","total",12,103.543493128629,106.972064557201,104.737178947025,0.294908930818783,0.216565478687537,20.3861675381274,22.5377562124306,0.294596253340034
"12","total","Anseriformes","betweeen","total",13,72.2625372949936,75.2625372949936,73.7172572443576,0.349174855248625,0.284092340773487,3.82669122832062,4.19193021271671,0.348886242366882
"13","total","Charadriiformes","betweeen","total",14,57.6521608957874,61.0807323243588,58.8458467141825,0.701484292924973,0.668315881027747,2.53168974210023,2.79888832004603,0.701351914083806
"14","total","Passeriformes","betweeen","total",15,381.068341905423,381.443341905423,387.726865020952,0.00226039673278609,-0.0128568699833838,3.81490942246818,3.87227970070267,0.00181794225104057
"15","fold_1","Passeriformes","within","only_body_mass",16,16.1213212290602,18.7879878957269,17.8161693014448,0.0202497956986101,-0.0688184046924254,0.357129453719223,0.388240647874166,0.0198153187394268
"16","fold_2","Passeriformes","within","only_body_mass",17,55.5919431427779,57.9919431427779,57.5091151316236,0.624585382975762,0.593300831557076,1.42219619541505,1.53614746079119,0.624418902784667
"17","fold_3","Passeriformes","within","only_body_mass",18,15.9454296787766,18.3454296787766,17.8626016676224,0.617202227028403,0.585302412614103,0.345160892321391,0.372816373727669,0.617032472726079
"18","fold_4","Passeriformes","within","only_body_mass",19,58.4838058995466,60.8838058995466,60.4009778883923,0.00123377276871714,-0.0819967461672231,1.57693502591692,1.70328450020077,0.00079086302352164
"19","fold_5","Passeriformes","within","only_body_mass",20,43.698770153459,46.3654368201257,45.3936182258436,0.982374560837082,0.980772248185907,1.03150011498762,1.12135884832373,0.982366744714995
"20","fold_1","Accipitriformes","within","only_body_mass",21,52.9291488146122,76.9291488146122,51.7574625519145,0.0162765405363507,-0.311631279284866,26.4161706764083,34.1031297001007,0.0158403016098687
"21","fold_2","Accipitriformes","within","only_body_mass",22,56.79852747093,68.79852747093,56.1738058786142,0.390975054715678,0.238718818394597,16.6810290616787,20.4300047928251,0.390704978419564
"22","fold_1","Anseriformes","within","only_body_mass",23,20.8995200444436,32.8995200444436,20.2747984521277,0.977534035808608,0.97191754476076,0.837518552881147,1.02574655233649,0.977524073122441
"23","fold_2","Anseriformes","within","only_body_mass",24,23.9585505604907,35.9585505604907,23.3338289681748,0.909386395766021,0.886732994707526,1.08069823576867,1.32357962177961,0.909346212540689
"24","fold_1","Charadriiformes","within","only_body_mass",25,26.7793581051972,50.7793581051972,25.6076718424995,0.180718931397038,-0.0923747581372822,1.93285324658379,2.49530281156065,0.180355615578537
"25","fold_2","Charadriiformes","within","only_body_mass",26,43.411870308912,55.411870308912,42.7871487165962,0.127377220194274,-0.0907784747571578,5.46693060211542,6.6955952171946,0.126990249627471
"26","total","Accipitriformes","betweeen","only_body_mass",27,102.416638707516,105.845210136087,103.610324525911,0.363562856614237,0.292847618460264,19.3682659993205,21.412423719848,0.363280624190549
"27","total","Anseriformes","betweeen","only_body_mass",28,55.436847026544,58.436847026544,56.891566975908,0.83985171687579,0.823836888563369,1.89824560325969,2.07942387318066,0.839780698019387
"28","total","Charadriiformes","betweeen","only_body_mass",29,70.7476014486825,74.1761728772539,71.9412872670776,0.0182691893682035,-0.0908120118131073,4.59116709087954,5.07572619675832,0.0178338340955359
"29","total","Passeriformes","betweeen","only_body_mass",30,321.681424176079,322.056424176079,328.339947291607,0.583388014479741,0.577075711668828,2.46513952731629,2.50221137487735,0.583203265032552
"30","fold_1","Passeriformes","within","only_HWI",31,96.1160629278302,98.7827295944969,97.8109110002148,0.0309881468512222,-0.0571038397986665,7.74512712149143,8.41984087338736,0.0305584318876323
"31","fold_2","Passeriformes","within","only_HWI",32,31.4179600486011,33.8179600486011,33.3351320374468,0.0340597246368016,-0.0464352983101315,0.599802859200989,0.647861133440874,0.0336313717854831
"32","fold_3","Passeriformes","within","only_HWI",33,41.369473317039,43.769473317039,43.2866453058847,0.102861720624891,0.0281001973436317,0.855779048050209,0.924347017590621,0.102463878491377
"33","fold_4","Passeriformes","within","only_HWI",34,69.5952754337846,71.9952754337847,71.5124474226304,0.00563995075979049,-0.0772233866768934,2.34508419127443,2.53298042659751,0.00519899496449649
"34","fold_5","Passeriformes","within","only_HWI",35,36.3438671853294,39.0105338519961,38.038715257714,0.148985800281758,0.0716208730346451,0.777348337407213,0.845066736993801,0.14860841218825
"35","fold_1","Accipitriformes","within","only_HWI",36,49.5701442076798,73.5701442076798,48.3984579449821,0.260262831523444,0.0136837753645919,18.8794850898732,24.3733104460167,0.259934789993936
"36","fold_2","Accipitriformes","within","only_HWI",37,61.1685506170603,73.1685506170603,60.5438290247445,0.145021018479782,-0.0687237269002732,24.0092863049665,29.4052502677801,0.144641872176545
"37","fold_1","Anseriformes","within","only_HWI",38,43.6323496045691,55.6323496045691,43.0076280122533,0.138721820113346,-0.0765977248583181,5.5683044525169,6.81975232056702,0.138339880387316
"38","fold_2","Anseriformes","within","only_HWI",39,22.3098109956217,34.3098109956217,21.6850894033058,0.112702749441095,-0.109121563198632,0.941964569694055,1.15366627576538,0.11230927137942
"39","fold_1","Charadriiformes","within","only_HWI",40,38.29101090026,62.29101090026,37.1193246375624,0.0212340474785127,-0.30502127002865,6.11144080787992,7.88983615675044,0.0208000069925432
"40","fold_2","Charadriiformes","within","only_HWI",41,35.1560826279468,47.1560826279468,34.5313610356309,0.000812759123666896,-0.248984051095416,2.74761982611194,3.36513329056445,0.000369662677078052
"41","total","Accipitriformes","betweeen","only_HWI",42,107.275158636216,110.703730064787,108.468844454611,0.0101342879988762,-0.0998507911123598,24.154670780104,26.7039933040553,0.00969532524830784
"42","total","Anseriformes","betweeen","only_HWI",43,73.3394884880578,76.3394884880578,74.7942084374218,0.288064765827356,0.216871242410091,4.00231717494809,4.38431879801884,0.28774905325662
"43","total","Charadriiformes","betweeen","only_HWI",44,70.3738008353242,73.8023722638956,71.5674866537193,0.0510697730098588,-0.0543669188779348,4.51381783917921,4.9902133815234,0.0506489633813538
"44","total","Passeriformes","betweeen","only_HWI",45,380.054232539131,380.429232539131,386.71275565466,0.0170296561559081,0.00213616609766432,3.78656863431842,3.84351271137184,0.0165937512037216
"45","fold_1","Passeriformes","within","only_Latitude",46,20.1604953746997,22.8271620413664,21.8553434470843,0.247528596194924,0.179122104939917,0.417152216706713,0.453492270631055,0.247194907581273
"46","fold_2","Passeriformes","within","only_Latitude",47,13.5561215478269,15.9561215478269,15.4732935366727,0.0536746916213523,-0.0251857507435349,0.31692914439309,0.342322600763313,0.0532550371619019
"47","fold_3","Passeriformes","within","only_Latitude",48,20.1696852541239,22.5696852541239,22.0868572429696,0.113428613390642,0.0395476645065295,0.40136728605405,0.433526217623332,0.113035457218322
"48","fold_4","Passeriformes","within","only_Latitude",49,14.5582116986467,16.9582116986467,16.4753836874925,0.0769054649822879,-1.90796025214546e-05,0.328477112777174,0.354795832211757,0.0764961123688846
"49","fold_5","Passeriformes","within","only_Latitude",50,36.2298811999386,38.8965478666053,37.9247292723232,0.0502244258475888,-0.0361188081662667,0.773947842398166,0.841370009178001,0.049803241344077
"50","fold_1","Accipitriformes","within","only_Latitude",51,14.2804935453213,38.2804935453213,13.1088072826236,0.0092655036060467,-0.320979328525271,0.553834607806679,0.714997404196195,0.00882615558707066
"51","fold_2","Accipitriformes","within","only_Latitude",52,10.0369172535469,22.0369172535469,9.41219566123108,0.636945224512083,0.546181530640104,0.338737854239093,0.414867449725521,0.636784225377632
"52","fold_1","Anseriformes","within","only_Latitude",53,18.6848274140545,30.6848274140545,18.0601058217386,0.00536795907668341,-0.243290051154146,0.696373181494054,0.852879482609487,0.00492688266480889
"53","fold_2","Anseriformes","within","only_Latitude",54,13.1502364834444,25.1502364834444,12.5255148911285,0.362745936397699,0.203432420497123,0.439074800114092,0.537754609597021,0.362463341705128
"54","fold_1","Charadriiformes","within","only_Latitude",55,-2.56047316815877,21.4395268318412,-3.73215943085647,0.342386250350954,0.123181667134605,0.102798363019719,0.132712115997586,0.34209462701573
"55","fold_2","Charadriiformes","within","only_Latitude",56,16.3506070569209,28.3506070569209,15.7258854646051,0.16049220024387,-0.0493847496951618,0.573276033086713,0.702116881414667,0.160119914742477
